"Kod";"Nazwa";"obiekty sportowe ogółem;2022;[ob.]";
2801000;"Powiat bartoszycki";99;
2802000;"Powiat braniewski";81;
2803000;"Powiat działdowski";97;
2804000;"Powiat elbląski";93;
2805000;"Powiat ełcki";108;
2806000;"Powiat giżycki";89;
2807000;"Powiat iławski";208;
2808000;"Powiat kętrzyński";133;
2809000;"Powiat lidzbarski";74;
2810000;"Powiat mrągowski";68;
2811000;"Powiat nidzicki";14;
2812000;"Powiat nowomiejski";73;
2813000;"Powiat olecki";63;
2814000;"Powiat olsztyński";198;
2815000;"Powiat ostródzki";128;
2816000;"Powiat piski";80;
2817000;"Powiat szczycieński";89;
2818000;"Powiat gołdapski";22;
2819000;"Powiat węgorzewski";47;
2861000;"Powiat m. Elbląg";53;
2862000;"Powiat m. Olsztyn";83;
