"Kod";"Nazwa";"ogółem;2022;[zł]";
2801000;"Powiat bartoszycki";5411,23;
2802000;"Powiat braniewski";5368,32;
2803000;"Powiat działdowski";5273,63;
2804000;"Powiat elbląski";5206,08;
2805000;"Powiat ełcki";5238,03;
2806000;"Powiat giżycki";5498,08;
2807000;"Powiat iławski";5080,82;
2808000;"Powiat kętrzyński";5244,28;
2809000;"Powiat lidzbarski";5155,53;
2810000;"Powiat mrągowski";5298,87;
2811000;"Powiat nidzicki";5130,03;
2812000;"Powiat nowomiejski";4668,60;
2813000;"Powiat olecki";5397,85;
2814000;"Powiat olsztyński";5865,11;
2815000;"Powiat ostródzki";5403,55;
2816000;"Powiat piski";5580,91;
2817000;"Powiat szczycieński";5503,25;
2818000;"Powiat gołdapski";5136,51;
2819000;"Powiat węgorzewski";5338,94;
2861000;"Powiat m. Elbląg";5900,22;
2862000;"Powiat m. Olsztyn";6506,02;
